county,1926,1936,1946,1951,1956,1961,1966,1971,1979,1981,1986,1991,1996,2002,2006,2011,2016
Carlow,34476,34452,34081,34162,33888,33342,33593,34237,38668,39820,40988,40942,41616,46014,50349,54612,56875
Dublin,505654,586925,636193,693022,705781,718332,795047,852219,983683,1003164,1021449,1025304,1058264,1122821,1187176,1273069,1345402
Kildare,58028,57892,64849,66437,65915,64420,66404,71977,97185,104122,116247,122656,134992,163944,186335,210312,222130
Kilkenny,70990,68614,66712,65235,64089,61668,60463,61473,69156,70806,73186,73635,75336,80339,87558,95419,99118
Laois,51540,50109,49697,48430,47087,45069,44595,45259,49936,51171,53284,52314,52945,58774,67059,80559,84732
Longford,39847,37847,36218,34553,32969,30643,28989,28250,30785,31140,31496,30296,30166,31068,34391,39000,40810
Louth,62739,64339,66194,68771,69194,67378,69519,74951,86135,88514,91810,90724,92166,101821,111267,122897,128375
Meath,62969,61405,66232,66337,66762,65122,67323,71729,90715,95419,103881,105370,109732,134005,162831,184135,194942
Offaly,52592,51308,53686,52544,51970,51533,51717,51829,57342,58312,59835,58494,59117,63663,70868,76687,78003
Westmeath,56818,54706,54949,54463,54122,52861,52900,53570,59885,61523,63379,61880,63314,71858,79346,86164,88396
Wexford,95848,94245,91855,90032,87259,83308,83437,86351,96421,99081,102552,102069,104371,116596,131749,145320,149605
Wicklow,57591,58569,60451,62590,59906,58473,60428,66295,83950,87449,94542,97265,102683,114676,126194,136640,142332
Clare,95064,89879,85064,81329,77176,73702,73597,75008,84919,87567,91344,90918,94006,103277,110950,117196,118627
Cork,365747,355957,343668,341284,336663,330443,339703,352883,396118,402465,412735,410369,420510,447829,481295,519032,542196
Kerry,149171,139834,133893,126644,122072,116458,112785,112772,120356,122770,124159,121894,126130,132527,139835,145502,147554
Limerick,140343,141153,142559,141239,137881,133339,137357,140459,157407,161661,164569,161956,165042,175304,184055,191809,195175
North Tipperary,59645,59551,58103,57009,55697,53696,53843,54337,58476,58984,59522,57854,58021,61010,66023,70322,71370
South Tipperary,81370,78284,77911,76304,73718,70126,68969,69228,75265,76277,77097,74918,75514,79121,83221,88432,89071
Waterford,78562,77614,76108,75061,74031,71439,73080,77315,87278,88591,91151,91624,94680,101546,107961,113795,116401
Galway,169366,168198,165201,160204,155553,149887,148340,149223,167838,172018,178552,180364,188854,209077,231670,250653,258552
Leitrim,55907,50908,44591,41209,37056,33470,30572,28360,27844,27609,27035,25301,25057,25799,28950,31798,31972
Mayo,172690,161349,148120,141867,133052,123330,115547,109525,114019,114766,115184,110713,111524,117446,123839,130638,130425
Roscommon,83556,77566,72510,68102,63710,59217,56228,53519,54189,54543,54592,51897,51975,53774,58768,64065,64436
Sligo,71388,67447,62375,60513,56850,53561,51263,50275,54610,55474,56046,54756,55821,58200,60894,65393,65357
Cavan,82452,76670,70355,66377,61740,56594,54022,52618,53720,53855,53965,52796,52944,56546,64003,73183,76092
Donegal,152508,142310,136317,131530,122059,113842,108549,108344,121941,125112,129664,128117,129994,137575,147264,161137,158755
Monaghan,65131,61289,57215,55345,52064,47088,45732,46242,50376,51192,52379,51293,51313,52593,55997,60483,61273
